10.1016/j.marmicro.2004.12.003,"about 3.0 and 3.3 Ma, the interval investigated in detail in the PRISM (Pliocene Research, Interpretation,",Marine Micropaleontology,Mid-Pliocene deep-sea bottom-water temperatures based on ostracode Mg/Ca ratios,Pliocene Research Interpretation and Synoptic Mapping
10.1016/S0031-0182(02)00506-0,detailed study by the United States Geological Survey’s PRISM Group (Pliocene Research Interpretations,"Palaeogeography, Palaeoclimatology, Palaeoecology",Magnitude of climate variability during middle Pliocene warmth: a palaeoclimate modelling study,Pliocene Research Interpretation and Synoptic Mapping
10.1016/j.epsl.2010.08.023,"3.3 Ma by 5 °C, culminating in MIS M2 with values as low as 17 °C. The Pliocene Research Interpretation",Earth and Planetary Science Letters,Late Pliocene changes in the North Atlantic Current,Pliocene Research Interpretation and Synoptic Mapping
,"ODP for access to the samples. This report is a product of the PRISM (Pliocene Research, Interpretation,",Open-File Report,Pliocene planktic foraminifer census data from Deep Sea Drilling Project Hole 445,Pliocene Research Interpretation and Synoptic Mapping
,"Thompson  Over the last several years, the U.S. Geological Survey's PRISM (Pliocene Research, Interpretation,",Open-File Report,Pliocene terrestrial environments and data/model comparisons,Pliocene Research Interpretation and Synoptic Mapping
10.1890/1540-9295-8.1.4,"to predict future temperatures”, explains Robinson. “The PRISM [USGS Pliocene Research, Interpretation",Frontiers in Ecology and the Environment,Dispatches,Pliocene Research Interpretation and Synoptic Mapping
10.1016/0377-8398(95)00063-1,"extensively explored (see Crowley, 199 1) . Over the past several years PRISM (Pliocene Research, Interpretations,",Marine Micropaleontology,Modeling of middle Pliocene climate with the NCAR GENESIS general circulation model,Pliocene Research Interpretation and Synoptic Mapping
10.1016/0277-3791(93)90015-E,"constitutes a small component of the much larger multi-institutional PRISM (Pliocene Research, Interpretation",Quaternary Science Reviews,Pliocene palaeotemperature reconstruction for the southern North Sea Based on Ostracoda,Pliocene Research Interpretation and Synoptic Mapping
10.1016/j.palaeo.2012.10.014,"focus of climate reconstruction efforts by the U.S. Geological Survey's Pliocene Research, Interpretation,","Palaeogeography, Palaeoclimatology, Palaeoecology","Diatom evidence for the onset of Pliocene cooling from AND-1B, McMurdo Sound, Antarctica",Pliocene Research Interpretation and Synoptic Mapping
10.1002/2013GL058872,"boundary conditions, at the time of writing the most recent version of the Pliocene Research, Interpretation",Geophysical Research Letters,Can uncertainties in sea ice albedo reconcile patterns of data-model discord for the Pliocene and 20th/21st centuries?,Pliocene Research Interpretation and Synoptic Mapping
10.1002/2014PA002774,system operates in a warmer world.  The mPWP has been the focus of the Pliocene Research Interpretations,Paleoceanography,Modeling oxygen isotopes in the Pliocene: Large-scale features over the land and ocean,Pliocene Research Interpretation and Synoptic Mapping
,"intervals occurs at about 3 Ma (Dowsett and Poore, 1991). One goal of PRISM (Pliocene Research, Interpretation,",Open-File Report,"Palynological data from Pliocene sediments, DSDP Leg 5 Site 32, northeastern Pacific Ocean",Pliocene Research Interpretation and Synoptic Mapping
10.3133/ofr20181148,"National Centers for Environmental Information Ocean Drilling Program Pliocene Research, Interpretation",Open-File Report,PRISM marine sites—The history of PRISM sea surface temperature estimation,Pliocene Research Interpretation and Synoptic Mapping
10.1016/j.gloplacha.2015.02.001,boundary conditions (e.g. topography and ice sheet extent) derived from the Pliocene Research Interpretation,Global and Planetary Change,Modelling the enigmatic Late Pliocene Glacial Event — Marine Isotope Stage M2,Pliocene Research Interpretation and Synoptic Mapping
10.1016/S0012-821X(03)00685-X,States Geological Survey (USGS) PRISM2 enhanced 2‡U2‡ digital data set (Pliocene Research Interpretations,Earth and Planetary Science Letters,"Modelling Pliocene warmth: contribution of atmosphere, oceans and cryosphere",Pliocene Research Interpretation and Synoptic Mapping
10.1016/j.gloplacha.2012.01.013,"et al., 2005; Haywood et al., 2009). Most extensively studied is the Pliocene Research Interpretation",Global and Planetary Change,"A diatom record of late Pliocene cooling from the Ross Sea continental shelf, AND-1B, Antarctica",Pliocene Research Interpretation and Synoptic Mapping
10.1016/j.epsl.2018.03.030,Comprehensive SST records of the MPWP have been compiled by the PRISM Group (Pliocene Research Interpretation,Earth and Planetary Science Letters,Using tetraether lipids archived in North Sea Basin sediments to extract North Western European Pliocene continental air temperatures,Pliocene Research Interpretation and Synoptic Mapping
10.1029/2004GC000799,Traditional reconstructions of sea-surface temperatures (SSTs) produced by the Pliocene Research Interpretations,"Geochemistry, Geophysics, Geosystems",Warmer tropics during the mid-Pliocene? Evidence from alkenone paleothermometry and a fully coupled ocean-atmosphere GCM,Pliocene Research Interpretation and Synoptic Mapping
10.1016/B978-0-12-809665-9.15024-4,"wilderness, 1:277–278 Pliocene–Pleistocene transition (PPT), 1:130–131 Pliocene Research, Interpretation,",Encyclopedia of the Anthropocene,Index,Pliocene Research Interpretation and Synoptic Mapping
10.1029/2008PA001669,"are in keeping with results from the faunal assemblage data produced by Pliocene Research, Interpretation",Paleoceanography,High-amplitude variations in North Atlantic sea surface temperature during the early Pliocene warm period,Pliocene Research Interpretation and Synoptic Mapping
